Time,ID,LAT,LON,ALT,#WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17227247,34.81408017,47.69363736,1,BezeqFree,06:ae:db:58:73:75,2412,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17237924,34.81348839,36,1,HOTBOX-1234,7c:03:4c:ba:f5:5a,2437,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16994496,34.81096824,41.15224303,2,Rozenkrants,86:2a:a8:a1:a0:b5,2412,-89,RS_GUEST,ec:08:6b:38:0d:dd,2467,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,NRD90M.G950FXXU1AQJ5,32.17228718,34.81407568,39.7656339,1,Orit,c4:a8:1d:12:7d:4c,2437,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.1698844,34.8123046,28,1,HOTBOX-8156,b4:ee:b4:a7:81:5c,2412,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,NRD90M.G950FXXU1AQJ5,32.17225794,34.81441454,40.08129431,2,Km,48:ee:0c:3d:eb:b8,2452,-85,HUAWEI-009D,14:9d:09:80:00:9d,2427,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.1695048,34.81211179,27,1,DIRECT-A5-HP DeskJet 3700 series,40:b0:34:62:33:a6,2437,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17206721,34.81192728,32,2,KaymeraGuest,00:f6:63:15:58:82,2412,-94,alfa,f4:f2:6d:5e:d0:48,2462,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,PB2-690Y_S200032_161214,32.17244679,34.81292387,39,1,sellahome,d8:fb:5e:17:47:f8,2452,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17005572,34.81236632,30,1,Siemens,d0:d4:12:5e:db:f2,2462,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
